token	weight	state_id
Исабеков	254	210196
Исаев	254	210025
Искаков	254	209544
Искужанова	254	207880
Ислам	254	207003
Исламабад	254	207007
Исландия	254	210170
Исмаилов	254	209843
Испания	254	207199
Италия	254	208639
Иә	254	210838
Йемен	254	209080
Кааба	254	209575
Кабаев	254	208599
Кабул	254	210364
Как	254	210413
Калиев	254	208556
Камалов	254	208356
Камбоджа	254	208994
Камерун	254	207443
Кампала	254	207676
Канада	254	207408
Канберра	254	208218
Каракас	254	206999
Каримов	254	210181
Каспий	254	209681
Катар	254	207585
Катманду	254	209020
Католицизм	254	208589
Кездеспей	254	209705
Кекілбаев	254	206816
Кемелұлы	254	209832
Кенесары	254	207993
Кения	254	208902
Кентау	254	207412
Керей	254	209218
Керек	254	210712
Кигали	254	207739
Киев	254	209444
Кингстон	254	208518
Киншаса	254	208684
Кипр	254	209933
Кито	254	206762
Кишинев	254	209661
Кола	254	210667
Колумбия	254	206581
Комор	254	208838
Конакри	254	208493
Конго	254	209098
Конституция	254	207250
Конфуцийлік	254	210248
Конфуцийшылдық	254	207380
Копенгаген	254	209395
Корея	254	206741
Косанов	254	209974
Котик	254	210791
Красавица	254	210601
Кто	254	210410
Куба	254	208825
Кувейт	254	207166
Кулибаев	254	210237
Кунаев	254	208110
Курмангалиев	254	209215
Курчатов	254	210268
Кусаинов	254	208595
Кім	254	210658
Күн	254	209055
Көк	254	209821
Көкшетау	254	209826
Көп	254	210871
Көрем	254	210443
Көтеріп	254	210560
Көтімді	254	210849
Көтіне	254	210447
Көшпенділер	254	210392
Лагерь	254	210439
Ладно	254	210579
Лайк	254	210786
Лаос	254	209269
Латвия	254	206990
Ленгер	254	209246
Либерия	254	210098
Либревиль	254	208181
Ливан	254	209865
Ливия	254	208875
Лилонгве	254	208272
Лисаковск	254	206955
Лиссабон	254	208441
Литва	254	210192
Лихтенштейн	254	209874
Ломе	254	209808
Лондон	254	209993
Луанда	254	208297
Лусака	254	209532
Любляна	254	209637
Люксембург	254	210070
Маврикий	254	208844
Мавритания	254	209032
Маджуро	254	209264
Мадина	254	208053
Мадрид	254	210271
Мажарстан	254	207287
Май	254	206916
Майлин	254	206919
Македония	254	210148
Макинск	254	206931
Максим	254	208960
Малабо	254	206573
Малави	254	209248
Малайзия	254	210014
Мале	254	209550
Мали	254	209747
Мальдив	254	208210
Мальта	254	210225
Малға	254	210625
Мама	254	210417
Мамам	254	210760
Мамбетов	254	208224
Мамлют	254	210277
Манагуа	254	208792
Манама	254	207191
Манила	254	209101
Манихей	254	209442
Мансұр	254	209367
Мапуту	254	209591
Марат	254	208127
Мария	254	209012
Марокко	254	207754
Марс	254	207351
Маршалл	254	209283
Марқакөл	254	207448
Мас	254	210304
Маскат	254	210307
