token	weight	state_id
aibo	204	13671
aibol	231	13672
aibolat	171	13674
aiboldy	210	64622
aibota	187	28649
aibyi	153	5273
aibyn	231	69513
aibyndy	213	69515
aiböpe	224	87247
aida	231	16716
aidahar	200	47429
aidai	231	38044
aidaidy	194	38046
aidaimyn	217	76328
aidaityn	195	38544
aidala	207	19460
aidalada	179	19462
aidaladağy	193	36143
aidalağa	204	53278
aidam	222	60638
aidama	208	60639
aidan	231	16717
aidana	231	16718
aidanada	203	51867
aidanalar	212	68506
aidanamen	191	32880
aidanany	184	24558
aidananyn	203	52521
aidananyñ	231	97377
aidanağa	176	16720
aidanka	217	77248
aidap	231	95583
aidar	231	22411
aidarbek	187	28261
aidarbekova	215	73590
aidardy	210	50025
aidardyñ	202	50026
aidarhan	182	22414
aidarly	212	68566
aidarmen	214	72610
aidarğa	205	54910
aidau	191	33460
aidaudy	218	79425
aidauğa	206	56743
aidağa	210	53843
aidağan	204	53844
aidağy	199	45273
aidi	231	95157
aidok	186	26512
aidol	231	97481
aidos	231	37542
aidospen	200	46884
aidosqa	194	37544
aidy	231	39095
aidykı	215	74201
aidyn	231	39096
aidynbek	213	69169
aidynda	213	69669
aidyndy	201	48444
aidynmen	207	58501
aidynnyñ	195	39099
aidynğa	196	39915
aidyñ	231	95328
aieke	182	22893
aielge	201	49192
aifon	231	37107
aifonda	203	51597
aifondy	194	37109
aifonmen	210	65110
aifonnyñ	199	44879
aifony	211	66538
aiger	192	24748
aigerim	231	52634
aigerimge	204	52636
aigerım	231	24750
aigerımde	212	67452
aigerımdı	198	43744
aigerımmen	206	57812
aigerımnıñ	184	24753
aigu	220	41968
aigul	231	41969
aigulge	197	41971
aigölek	231	97501
aigül	231	30383
aigülde	219	76222
aigülden	216	76223
aigülder	225	88944
aigüldı	211	30385
aigüldıñ	189	30386
aigülge	190	32388
aigülmen	219	80168
aihai	192	35334
aihan	192	35084
aija	216	467
aijamal	231	86093
aijamaldyñ	223	86096
aijan	117	468
aijana	209	62632
aijanar	217	77033
aijanda	209	63077
aijandar	219	79905
aijandy	193	36734
aijanka	204	52992
aijanmen	205	54445
aijannan	207	57899
aijannyñ	185	25898
aijanova	215	72877
aijanğa	184	24153
aijarqyn	192	34930
aijaryq	202	50794
aijūldyz	183	23930
aika	231	46963
aikamen	213	69598
aikanyñ	200	47346
aikağa	200	46965
aiken	231	97158
aikerim	206	57138
aiko	231	11926
aikoda	216	67297
aikodan	212	67298
aikolar	218	78795
aikomen	203	52000
aikon	188	29588
aikony	198	35666
aikonyñ	193	35667
aikoğa	193	35721
aikoş	168	11927
aikoşa	191	34050
aikörkem	231	96448
aikünım	210	63765
aila	187	28599
ailaker	210	64309
ailan	208	34519
ailandyryp	209	62519
ailanyp	192	34521
ailap	193	35838
ailar	191	32696
ailardyñ	221	83484
ailary	200	46474
aili	215	61462
ailina	208	61464
aily	168	3232
ailyk	145	3233
ailyktan	190	31951
ailyq	231	6618
ailyqpen	213	70410
ailyqqa	157	6620
ailyqta	190	8511
ailyqtan	162	8512
ailyqtaryn	217	76425
ailyqtaryñ	203	52433
ailyqty	174	15570
ailyqtyñ	197	42500
ailyğy	165	10154
ailyğym	179	19269
ailyğymdy	195	39207
ailyğyn	180	20143
ailyğynan	203	50967
ailyğynda	212	68389
ailyğyñ	189	30507
ailyğyñdy	203	52502
ailyğyñyz	214	71102
aimalasyp	208	59845
aimalau	230	94104
aimalağym	223	86455
aiman	231	55192
aimandai	230	94343
aimandy	205	55194
aimanmen	220	81540
aimannan	219	81340
aimanova	210	63857
aimaq	231	22132
aimaqqa	197	41785
aimaqta	186	26843
aimaqtar	196	38539
aimaqtarda	195	38541
aimaqty	208	22134
aimaqtyq	182	22135
aimauytov	192	35191
aimağy	168	11593
aimen	189	31345
aimira	197	41823
aina	231	1025
ainabulak	194	37876
ainabūlaq	218	79070
ainadai	215	74279
ainadan	182	22174
ainagul	181	21725
ainagül	231	96866
ainala	231	1027
ainalada	214	40724
ainaladağy	196	40726
