token	weight	state_id
ءدارىمدى	222	82785
ءدارىنى	191	22117
ءدارىنىڭ	217	72557
ءدارىڭ	228	41612
ءدارىڭدى	207	41614
ءدارەت	210	48461
ءدارەتكە	220	79928
ءدارەجەلى	228	112923
ءدال	143	3480
ءدام	171	1975
ءدامدى	131	1977
ءدامى	191	20777
ءدامىن	205	39801
ءدامگە	221	85383
ءدان	203	30755
ءدانىم	204	45938
ءداي	226	48424
ءدايلي	221	48426
ءدايىم	225	89640
ءداپ	222	82223
ءداۋ	205	41747
ءدوربىلجىن	208	59608
ءدوربىلجىنگە	213	63401
ءدىر	223	87599
ءدىلدا	223	100861
ءديدار	228	110479
ءدينام	215	90859
ءدۇرىس	208	52669
ءدۇزۋ	227	101459
ءراسىم	215	66082
ءزدەپ	221	89113
ءسابىز	219	63643
ءسابي	216	66492
ءسات	184	11221
ءساتتلىك	228	99828
ءساتتى	165	11223
ءساتتىلىك	192	22555
ءساتى	220	76585
ءسال	162	5356
ءسالەم	154	5358
ءسالەمىڭ	219	75825
ءسان	203	49792
ءساندى	206	79118
ءسانى	215	70905
ءسانىن	212	70906
ءساي	174	11882
ءسايدى	222	91354
ءساپ	224	89875
ءستقتا	233	113892
ءستى	225	89522
ءستىق	202	89523
ءستىقتا	233	113894
ءستە	210	10077
ءستەتىپ	214	51535
ءستەدىم	224	103240
ءستەرىڭ	222	78575
ءستەمەي	224	105360
ءستەن	208	62169
ءستەي	208	49208
ءستەيتىن	209	51408
ءستەيدى	218	64979
ءستەيسىڭ	226	99677
ءستەيمىن	216	63817
ءستەيىن	225	82642
ءستەپ	170	10078
ءستەگەن	214	54030
ءسز	188	22689
ءسزدى	208	55239
ءسزدىڭ	214	58084
ءسزدە	220	77106
ءسزدەر	225	101307
ءسزدەن	223	96531
ءسزگە	200	32407
ءسكە	201	41858
ءسوز	138	2806
ءسوزبەن	227	106186
ءسوزدى	183	18545
ءسوزدىڭ	205	51167
ءسوزدەر	212	58029
ءسوزدەردى	218	76299
ءسوزدەرىڭ	225	95109
ءسوزدەرىڭدى	223	95111
ءسوزدەن	228	108607
ءسوزسىز	180	15124
ءسوزى	191	22397
ءسوزىم	201	38089
ءسوزىمدى	202	38091
ءسوزىن	191	23909
ءسوزىنە	221	89376
ءسوزىڭ	189	22398
ءسوزىڭدى	194	28293
ءسوزىڭدە	224	97400
ءسوزىڭىز	226	102245
ءسوزىڭىزدى	227	102247
ءسوزىڭە	220	80421
ءسوزگە	215	64235
ءسويتىپ	211	53406
ءسويلە	209	37124
